duration,mold,rating_num,title
142,"剧情,犯罪",9.7,肖申克的救赎
112,"剧情,喜剧",9.3,触不可及
117,"剧情,家庭,传记",9.2,当幸福来敲门
90,"剧情,喜剧,爱情",9.1,怦然心动
175,"剧情,犯罪",9.3,教父
116,"剧情,悬疑,犯罪",9.6,控方证人
125,剧情,9.3,熔炉
95,"喜剧,爱情,奇幻,古装",9.2,大话西游之大圣娶亲
109,"喜剧,动画,冒险",9.2,疯狂动物城
101,"剧情,惊悚,犯罪",9.3,无间道
97,"剧情,喜剧,音乐",9.3,放牛班的春天
98,"科幻,动画,冒险",9.3,机器人总动员
171,"剧情,喜剧,爱情,歌舞",9.2,三傻大闹宝莱坞
103,"剧情,科幻",9.3,楚门的世界
93,剧情,9.4,忠犬八公的故事
169,"剧情,科幻,冒险",9.4,星际穿越
165,"剧情,音乐",9.3,海上钢琴师
148,"剧情,科幻,悬疑,冒险",9.4,盗梦空间
195,"剧情,历史,战争",9.6,辛德勒的名单
125,"剧情,动画,奇幻",9.4,千与千寻
116,"剧情,喜剧,爱情,战争",9.6,美丽人生
110,"剧情,动作,犯罪",9.4,这个杀手不太冷
194,"剧情,爱情,灾难",9.4,泰坦尼克号
142,"剧情,爱情",9.5,阿甘正传
155,"剧情,爱情",9.2,天堂电影院
162,"动作,科幻,冒险",8.8,阿凡达
127,"剧情,喜剧,家庭",8.9,7号房的礼物
98,"爱情,奇幻,武侠,古装",8.8,倩女幽魂
139,"剧情,传记,历史,战争",8.7,血战钢锯岭
113,"剧情,悬疑,惊悚,犯罪",8.7,记忆碎片
237,"剧情,犯罪",8.9,牯岭街少年杀人事件
106,"剧情,科幻,惊悚",8.8,千钧一发
107,"剧情,惊悚",8.7,浪潮
128,"剧情,传记",8.8,聚焦
111,"剧情,喜剧",8.3,驴得水
97,"剧情,喜剧",8.5,完美陌生人
118,"剧情,爱情",9.1,我爱你
165,"剧情,家庭,儿童",8.9,地球上的星星
87,"剧情,爱情,动画",8.8,千年女优
147,"剧情,犯罪,奇幻",8.5,香水
124,"剧情,爱情",8.6,朗读者
98,"剧情,爱情,科幻,动画",8.6,穿越时空的少女
119,"动作,悬疑,惊悚",8.6,谍影重重
104,"喜剧,爱情,音乐",8.6,再次出发之纽约遇见你
104,纪录片,9.1,海洋
144,"剧情,科幻,冒险",8.5,火星救援
94,"剧情,爱情,犯罪",8.5,阿飞正传
130,"剧情,惊悚,犯罪",8.9,末路狂花
133,"剧情,爱情,战争,西部",8.8,燃情岁月
108,"动作,悬疑,惊悚",8.7,谍影重重2
128,"剧情,爱情,歌舞",8.4,爱乐之城
122,"剧情,犯罪",8.7,战争之王
101,"动画,奇幻,冒险",8.6,崖上的波妞
89,"科幻,悬疑,惊悚",8.5,彗星来的那一夜
138,"动作,科幻",8.7,黑客帝国2：重装上阵
108,"剧情,爱情,战争",8.8,魂断蓝桥
115,"剧情,家庭",8.8,步履不停
143,"剧情,惊悚,冒险",8.7,血钻
101,"动画,音乐,奇幻",8.7,心灵奇旅
153,"剧情,犯罪",8.6,无耻混蛋
118,"剧情,家庭",8.8,房间
88,"动作,爱情,武侠,古装",8.7,新龙门客栈
120,"动作,科幻,冒险",8.6,疯狂的麦克斯4：狂暴之路
99,纪录片,8.7,二十二
113,"剧情,家庭,儿童",8.6,奇迹男孩
135,"剧情,同性,音乐,传记",8.6,波西米亚狂想曲
99,"剧情,爱情,奇幻,古装",8.6,青蛇
137,"动作,科幻",8.8,终结者2：审判日
88,"剧情,悬疑,犯罪",8.8,罗生门
137,"剧情,家庭",8.6,海边的曼彻斯特
118,"剧情,喜剧,爱情",8.5,初恋这件小事
92,"剧情,喜剧,动画",9.0,东京教父
146,"剧情,科幻",8.7,人工智能
132,"喜剧,战争",8.9,虎口脱险
122,"剧情,惊悚,犯罪",8.7,小丑
93,"科幻,悬疑,惊悚",8.5,源代码
148,剧情,9.5,背靠背，脸对脸
89,"剧情,动画,战争",8.7,萤火虫之墓
119,"剧情,惊悚,犯罪",8.7,无间道2
102,"剧情,喜剧",8.7,大佛普拉斯
85,"剧情,犯罪",8.9,可可西里
87,"剧情,喜剧,爱情",9.3,城市之光
97,"剧情,喜剧,冒险",8.7,遗愿清单
133,剧情,8.7,雨人
123,"剧情,爱情",8.6,恋恋笔记本
103,"动画,奇幻,冒险",8.7,魔女宅急便
149,"科幻,惊悚,冒险",8.9,2001太空漫游
99,"剧情,悬疑,惊悚",8.5,恐怖游轮
108,"剧情,惊悚",8.6,黑天鹅
90,"剧情,动画,儿童",8.9,你看起来好像很好吃
103,"喜剧,爱情,歌舞",9.1,雨中曲
81,"喜剧,动画,冒险",8.6,冰川时代
118,"剧情,历史",9.5,茶馆
106,"喜剧,犯罪",8.5,疯狂的石头
100,"剧情,动作,爱情,武侠,古装",8.6,东邪西毒
135,"剧情,喜剧,爱情",8.6,真爱至上
101,"喜剧,动画,奇幻,冒险",8.7,无敌破坏王
120,"剧情,爱情",8.6,贫民窟的百万富翁
117,"剧情,家庭,犯罪",8.7,小偷家族
107,"剧情,音乐",8.7,爆裂鼓手
158,"剧情,爱情,情色",8.6,色，戒
189,"剧情,悬疑,犯罪,奇幻",8.9,绿里奇迹
109,"剧情,爱情",8.9,爱在午夜降临前
122,"剧情,喜剧,犯罪",8.8,荒蛮故事
107,剧情,9.2,忠犬八公物语
117,"剧情,家庭",8.7,岁月神偷
127,"剧情,家庭",8.8,海街日记
108,"剧情,喜剧,动作,犯罪",8.8,纵横四海
110,"剧情,悬疑,犯罪",8.7,心迷宫
117,"动画,奇幻,冒险",8.9,风之谷
95,"剧情,动作,犯罪",8.6,英雄本色
109,"悬疑,惊悚,恐怖",9.0,惊魂记
108,"剧情,喜剧,古装",8.7,九品芝麻官
115,"动作,悬疑,惊悚",8.8,谍影重重3
130,"剧情,犯罪",9.0,上帝之城
98,"喜剧,动画,冒险",8.7,疯狂原始人
117,"剧情,同性,传记",8.8,达拉斯买家俱乐部
121,"剧情,传记,历史,战争",8.9,卢旺达饭店
106,"剧情,爱情,动画",8.5,你的名字。
115,"剧情,犯罪",8.7,三块广告牌
103,"悬疑,惊悚,恐怖",8.7,电锯惊魂
95,"喜剧,动画,冒险",8.8,头脑特工队
129,"动作,科幻",8.8,黑客帝国3：矩阵革命
98,"剧情,爱情",8.7,花样年华
207,"剧情,动作,冒险",9.3,七武士
108,"剧情,喜剧,爱情,同性,家庭",9.0,喜宴
114,"剧情,同性,传记,战争",8.8,模仿游戏
134,"剧情,犯罪",8.9,新世界
140,"动作,科幻,冒险",8.7,头号玩家
132,"剧情,家庭",9.0,我是山姆
157,"悬疑,奇幻,冒险",8.7,哈利·波特与火焰杯
97,"剧情,悬疑,犯罪",8.7,恐怖直播
65,"动画,奇幻,冒险",9.1,哪吒闹海
163,"剧情,动作,西部,冒险",8.8,被解救的姜戈
113,"喜剧,奇幻,武侠,古装",8.7,射雕英雄传之东成西就
124,"剧情,喜剧",8.8,阳光姐妹淘
118,"动作,惊悚,灾难",8.6,釜山行
81,"动画,惊悚,奇幻",9.0,未麻的部屋
95,"喜剧,动画,冒险",8.6,神偷奶爸
106,"剧情,悬疑",8.8,告白
129,"剧情,爱情",8.7,傲慢与偏见
125,"剧情,家庭,奇幻,冒险",8.8,大鱼
103,"喜剧,动画,奇幻,冒险",8.9,玩具总动员3
132,剧情,8.8,寄生虫
116,剧情,8.9,一个叫欧维的男人决定去死
162,"剧情,犯罪",9.0,教父3
92,"喜剧,动画,儿童,奇幻,冒险",8.8,怪兽电力公司
45,"剧情,爱情,动画,奇幻",8.9,萤火之森
92,"剧情,喜剧,动画",8.9,玛丽和马克思
98,"动画,奇幻,冒险",8.8,驯龙高手
128,"剧情,喜剧,爱情",8.8,幸福终点站
123,"喜剧,爱情,奇幻",8.8,时空恋旅人
111,"剧情,爱情,动画",8.9,侧耳倾听
120,剧情,9.0,小森林 冬春篇
118,"剧情,爱情",8.9,甜蜜蜜
94,"动画,奇幻,冒险",8.9,借东西的小人阿莉埃蒂
80,"剧情,爱情",8.9,爱在日落黄昏时
